size,order,algorithm,time
50,RANDOM,BubbleSortPassPerItem,14199
50,RANDOM,BubbleSortPassPerItem,12796
50,RANDOM,BubbleSortPassPerItem,13312
50,RANDOM,BubbleSortPassPerItem,13453
50,RANDOM,BubbleSortPassPerItem,14015
50,RANDOM,BubbleSortPassPerItem,13422
50,RANDOM,BubbleSortPassPerItem,13604
50,RANDOM,BubbleSortPassPerItem,13481
50,RANDOM,BubbleSortPassPerItem,13686
50,RANDOM,BubbleSortPassPerItem,13522
50,RANDOM,BubbleSortPassPerItem,13597
50,RANDOM,BubbleSortPassPerItem,13488
50,RANDOM,BubbleSortPassPerItem,13926
50,RANDOM,BubbleSortPassPerItem,13419
50,RANDOM,BubbleSortPassPerItem,13760
50,RANDOM,BubbleSortPassPerItem,13788
50,RANDOM,BubbleSortPassPerItem,13638
50,RANDOM,BubbleSortPassPerItem,13750
50,RANDOM,BubbleSortPassPerItem,14104
50,RANDOM,BubbleSortPassPerItem,13712
50,RANDOM,BubbleSortPassPerItem,13678
50,RANDOM,BubbleSortPassPerItem,13941
50,RANDOM,BubbleSortPassPerItem,13026
50,RANDOM,BubbleSortPassPerItem,13587
50,RANDOM,BubbleSortPassPerItem,13994
50,RANDOM,BubbleSortPassPerItem,13957
50,RANDOM,BubbleSortPassPerItem,13522
50,RANDOM,BubbleSortPassPerItem,13894
50,RANDOM,BubbleSortPassPerItem,13799
50,RANDOM,BubbleSortPassPerItem,13328
50,RANDOM,BubbleSortPassPerItem,13063
50,RANDOM,BubbleSortPassPerItem,13661
50,RANDOM,BubbleSortPassPerItem,13144
50,RANDOM,BubbleSortPassPerItem,13508
50,RANDOM,BubbleSortPassPerItem,13422
50,RANDOM,BubbleSortPassPerItem,13804
50,RANDOM,BubbleSortPassPerItem,13813
50,RANDOM,BubbleSortPassPerItem,13201
50,RANDOM,BubbleSortPassPerItem,13927
50,RANDOM,BubbleSortPassPerItem,13160
50,RANDOM,BubbleSortPassPerItem,13831
50,RANDOM,BubbleSortPassPerItem,13833
50,RANDOM,BubbleSortPassPerItem,13406
50,RANDOM,BubbleSortPassPerItem,13324
50,RANDOM,BubbleSortPassPerItem,13444
50,RANDOM,BubbleSortPassPerItem,14044
50,RANDOM,BubbleSortPassPerItem,13991
50,RANDOM,BubbleSortPassPerItem,13594
50,RANDOM,BubbleSortPassPerItem,13299
50,RANDOM,BubbleSortPassPerItem,13947
50,RANDOM,BubbleSortPassPerItem,14047
50,RANDOM,BubbleSortPassPerItem,13388
50,RANDOM,BubbleSortPassPerItem,14033
50,RANDOM,BubbleSortPassPerItem,14244
50,RANDOM,BubbleSortPassPerItem,13763
50,RANDOM,BubbleSortPassPerItem,13816
50,RANDOM,BubbleSortPassPerItem,12595
50,RANDOM,BubbleSortPassPerItem,13122
50,RANDOM,BubbleSortPassPerItem,13075
50,RANDOM,BubbleSortPassPerItem,13888
50,RANDOM,BubbleSortPassPerItem,13746
50,RANDOM,BubbleSortPassPerItem,13761
50,RANDOM,BubbleSortPassPerItem,13815
50,RANDOM,BubbleSortPassPerItem,13980
50,RANDOM,BubbleSortPassPerItem,13719
50,RANDOM,BubbleSortPassPerItem,13538
50,RANDOM,BubbleSortPassPerItem,13784
50,RANDOM,BubbleSortPassPerItem,13836
50,RANDOM,BubbleSortPassPerItem,13594
50,RANDOM,BubbleSortPassPerItem,13751
50,RANDOM,BubbleSortPassPerItem,13397
50,RANDOM,BubbleSortPassPerItem,13166
50,RANDOM,BubbleSortPassPerItem,14240
50,RANDOM,BubbleSortPassPerItem,13330
50,RANDOM,BubbleSortPassPerItem,13397
50,RANDOM,BubbleSortPassPerItem,13597
50,RANDOM,BubbleSortPassPerItem,14138
50,RANDOM,BubbleSortPassPerItem,12844
50,RANDOM,BubbleSortPassPerItem,14015
50,RANDOM,BubbleSortPassPerItem,12978
50,RANDOM,BubbleSortPassPerItem,13682
50,RANDOM,BubbleSortPassPerItem,13627
50,RANDOM,BubbleSortPassPerItem,13022
50,RANDOM,BubbleSortPassPerItem,13854
50,RANDOM,BubbleSortPassPerItem,13062
50,RANDOM,BubbleSortPassPerItem,13807
50,RANDOM,BubbleSortPassPerItem,13661
50,RANDOM,BubbleSortPassPerItem,13769
50,RANDOM,BubbleSortPassPerItem,14122
50,RANDOM,BubbleSortPassPerItem,14215
50,RANDOM,BubbleSortPassPerItem,14211
50,RANDOM,BubbleSortPassPerItem,13781
50,RANDOM,BubbleSortPassPerItem,14260
50,RANDOM,BubbleSortPassPerItem,13757
50,RANDOM,BubbleSortPassPerItem,13081
50,RANDOM,BubbleSortPassPerItem,13521
50,RANDOM,BubbleSortPassPerItem,13582
50,RANDOM,BubbleSortPassPerItem,14344
50,RANDOM,BubbleSortPassPerItem,13743
50,RANDOM,BubbleSortPassPerItem,13682
50,RANDOM,BubbleSortPassPerItem,13490
50,RANDOM,BubbleSortPassPerItem,14209
50,RANDOM,BubbleSortPassPerItem,13219
50,RANDOM,BubbleSortPassPerItem,13816
50,RANDOM,BubbleSortPassPerItem,13827
50,RANDOM,BubbleSortPassPerItem,12996
50,RANDOM,BubbleSortPassPerItem,12276
50,RANDOM,BubbleSortPassPerItem,13576
50,RANDOM,BubbleSortPassPerItem,12910
50,RANDOM,BubbleSortPassPerItem,13503
50,RANDOM,BubbleSortPassPerItem,13478
50,RANDOM,BubbleSortPassPerItem,13750
50,RANDOM,BubbleSortPassPerItem,13575
50,RANDOM,BubbleSortPassPerItem,13493
50,RANDOM,BubbleSortPassPerItem,14044
50,RANDOM,BubbleSortPassPerItem,13674
50,RANDOM,BubbleSortPassPerItem,13024
50,RANDOM,BubbleSortPassPerItem,13596
50,RANDOM,BubbleSortPassPerItem,13894
50,RANDOM,BubbleSortPassPerItem,13681
50,RANDOM,BubbleSortPassPerItem,13449
50,RANDOM,BubbleSortPassPerItem,14429
50,RANDOM,BubbleSortPassPerItem,13532
50,RANDOM,BubbleSortPassPerItem,14157
50,RANDOM,BubbleSortPassPerItem,13722
50,RANDOM,BubbleSortPassPerItem,13146
50,RANDOM,BubbleSortPassPerItem,13674
50,RANDOM,BubbleSortPassPerItem,13978
50,RANDOM,BubbleSortPassPerItem,14091
50,RANDOM,BubbleSortPassPerItem,13766
50,RANDOM,BubbleSortPassPerItem,13629
50,RANDOM,BubbleSortPassPerItem,13771
50,RANDOM,BubbleSortPassPerItem,13624
50,RANDOM,BubbleSortPassPerItem,13712
50,RANDOM,BubbleSortPassPerItem,13697
50,RANDOM,BubbleSortPassPerItem,13243
50,RANDOM,BubbleSortPassPerItem,13104
50,RANDOM,BubbleSortPassPerItem,14679
50,RANDOM,BubbleSortPassPerItem,13724
50,RANDOM,BubbleSortPassPerItem,14247
50,RANDOM,BubbleSortPassPerItem,13513
50,RANDOM,BubbleSortPassPerItem,28254
50,RANDOM,BubbleSortPassPerItem,13313
50,RANDOM,BubbleSortPassPerItem,13253
50,RANDOM,BubbleSortPassPerItem,12310
50,RANDOM,BubbleSortPassPerItem,13277
50,RANDOM,BubbleSortPassPerItem,11968
50,RANDOM,BubbleSortPassPerItem,13127
50,RANDOM,BubbleSortPassPerItem,12862
50,RANDOM,BubbleSortPassPerItem,12800
50,RANDOM,BubbleSortPassPerItem,12944
50,RANDOM,BubbleSortPassPerItem,13168
50,RANDOM,BubbleSortPassPerItem,12584
50,RANDOM,BubbleSortPassPerItem,12688
50,RANDOM,BubbleSortPassPerItem,12918
50,RANDOM,BubbleSortPassPerItem,12620
50,RANDOM,BubbleSortPassPerItem,13116
50,RANDOM,BubbleSortPassPerItem,12364
50,RANDOM,BubbleSortPassPerItem,12869
50,RANDOM,BubbleSortPassPerItem,13432
50,RANDOM,BubbleSortPassPerItem,12981
50,RANDOM,BubbleSortPassPerItem,12634
50,RANDOM,BubbleSortPassPerItem,12559
50,RANDOM,BubbleSortPassPerItem,13558
50,RANDOM,BubbleSortPassPerItem,13210
50,RANDOM,BubbleSortPassPerItem,13485
50,RANDOM,BubbleSortPassPerItem,13668
50,RANDOM,BubbleSortPassPerItem,13058
50,RANDOM,BubbleSortPassPerItem,13219
